mode_id,model,total_attempts,successful_attempts,failed_attempts,success_rate,average_time_seconds_success_only,min_time_seconds_success_only,max_time_seconds_success_only,avg_tokens_per_second_success_only,avg_total_duration_ns_success_only,avg_prompt_eval_count_success_only,avg_eval_count_success_only,avg_gpu_utilization_percent_success_only,avg_gpu_memory_used_mib_success_only,avg_gpu_temperature_c_success_only,avg_gpu_power_draw_w_success_only,avg_gpu_energy_wh_success_only,processor,loaded_size,context,done_reason_main_success_only,done_reason_success_only_unique_count,done_reason_success_only_counts,postprocessing_success_only_main,postprocessing_success_only_unique_count,postprocessing_success_only_counts
grammar_simple_vs_continuous,deepseek-r1_8b,100,70,30,0.7,15.1544,13.893,18.185,40.2272,13105759274.29,232.0,466.0429,91.1802,5274.0,60.1356,61.6384,0.200303,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 70}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 70}"
grammar_simple_vs_continuous,llama3.1_8b,100,100,0,1.0,18.4043,11.031,20.835,32.0184,16350456145.0,240.0,456.44,57.0707,5155.9988,64.4215,60.6472,0.244949,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
grammar_simple_vs_continuous,ministral-3_3b,100,65,35,0.65,11.848,9.253,14.592,72.3538,9796669409.23,242.0,665.8769,84.2036,4378.0,57.5262,62.1272,0.148142,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 65}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 65}"
grammar_simple_vs_continuous,qwen3.5_4b,100,100,0,1.0,23.1031,22.136,24.097,26.9904,21056548315.0,272.0,534.12,48.7721,4304.0,65.8763,60.9797,0.318444,30%/70% CPU/GPU,6.2 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
test_section_1,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,64,36,0.64,41.0162,30.921,49.657,49.1735,38956532545.31,1380.0,1410.7969,93.7379,5121.6662,66.5205,62.5226,0.624039,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 64}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 64}"
test_section_1,deepseek-r1_8b,100,100,0,1.0,22.143,19.882,30.661,40.7995,20085413303.0,726.0,706.32,91.5065,5231.67,63.6721,61.4232,0.312315,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 100}",removed_markdown_code_fences,2,"{""removed_markdown_code_fences"": 88, ""json_parsed_without_cleanup"": 12}"
test_section_1,llama3.1_8b,100,100,0,1.0,23.9922,21.669,29.797,33.5976,21935633421.0,733.0,611.98,57.9374,5112.3167,64.99,60.6179,0.334329,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
test_section_1,ministral-3_3b,100,71,29,0.71,13.1672,10.99,16.494,71.4006,11121636807.04,733.0,745.5775,85.4288,4369.1155,59.9549,62.0251,0.169794,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 71}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 71}"
test_section_1,qwen3.5_4b,100,94,6,0.94,26.3162,22.64,33.45,38.4557,24262786287.23,793.0,863.8617,80.6076,5393.6246,65.8057,62.4025,0.383439,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 94}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 94}"
test_section_2,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,74,26,0.74,45.9176,34.871,56.421,49.0764,43859501322.97,1357.0,1601.0946,94.0127,5122.0,66.5266,62.6344,0.705587,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 74}",json_parsed_without_cleanup,3,"{""json_parsed_without_cleanup"": 69, ""removed_markdown_code_fences"": 4, ""trimmed_trailing_text_after_json"": 1}"
test_section_2,deepseek-r1_8b,100,92,8,0.92,28.3494,22.627,59.591,40.1581,26293572835.87,722.0,925.8804,92.3136,5234.0,64.813,61.4244,0.410231,100% GPU,5.7 GB,2048,stop,2,"{""stop"": 89, ""length"": 3}",removed_markdown_code_fences,3,"{""removed_markdown_code_fences"": 81, ""trimmed_trailing_text_after_json"": 3, ""json_parsed_without_cleanup"": 11}"
test_section_2,llama3.1_8b,100,97,3,0.97,26.732,24.442,40.473,33.3371,24676280009.28,728.0,691.3093,57.7115,5115.9991,65.0854,60.6114,0.378885,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 97}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 97}"
test_section_2,ministral-3_3b,100,69,31,0.69,13.3963,12.825,14.722,71.3969,11347150862.32,730.0,765.2464,86.3675,4338.0,59.3846,62.0982,0.174235,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 69}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 69}"
test_section_2,qwen3.5_4b,100,98,2,0.98,25.2409,21.049,37.125,38.4979,23192029657.14,789.0,825.4184,80.5249,5396.0,66.3902,62.4016,0.366115,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 98}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 98}"
test_section_3,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,24,76,0.24,50.6487,40.797,56.738,49.3687,48595988950.0,1362.0,1780.625,94.2559,5122.0,65.9671,62.557,0.784151,100% GPU,5.2 GB,2048,stop,2,"{""stop"": 22, ""length"": 2}",removed_markdown_code_fences,3,"{""removed_markdown_code_fences"": 11, ""json_parsed_without_cleanup"": 9, ""trimmed_trailing_text_after_json"": 4}"
test_section_3,deepseek-r1_8b,100,98,2,0.98,28.4609,23.737,38.164,40.3433,26401169246.94,718.0,934.1939,92.1071,5234.0,64.0881,61.466,0.414299,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 98}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 98}"
test_section_3,llama3.1_8b,100,99,1,0.99,27.6028,24.854,45.912,33.5419,25550415378.79,724.0,716.5354,57.8225,5116.0,65.1852,60.6989,0.393249,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 99}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 99}"
test_section_3,ministral-3_3b,100,60,40,0.6,14.5986,12.841,19.752,71.4314,12550752493.33,725.0,848.05,86.1202,4338.0,60.0894,62.0828,0.192005,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 60}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 60}"
test_section_3,qwen3.5_4b,100,99,1,0.99,24.0555,21.359,26.078,38.5492,21998535472.73,785.0,783.6768,80.4145,5396.0,66.0705,62.4605,0.347517,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 99}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 99}"
test_section_4,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,53,47,0.53,30.7742,20.942,39.004,49.0737,28717273303.77,1398.0,1027.8679,93.5686,5122.0,66.4404,62.5441,0.459922,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 53}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 53}"
test_section_4,deepseek-r1_8b,100,99,1,0.99,22.4815,15.055,34.842,40.3852,20418347800.0,739.0,720.2929,91.7081,5234.6061,63.289,61.5101,0.319111,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 99}",removed_markdown_code_fences,2,"{""json_parsed_without_cleanup"": 31, ""removed_markdown_code_fences"": 68}"
test_section_4,llama3.1_8b,100,79,21,0.79,23.557,15.576,31.178,33.2011,21499858315.19,746.0,601.481,57.6242,5116.0,65.2711,60.646,0.328545,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 79}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 79}"
test_section_4,ministral-3_3b,100,84,16,0.84,12.7429,11.379,14.552,71.2346,10690558841.67,743.0,718.1071,86.0844,4338.0,59.7637,62.0285,0.163022,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 84}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 84}"
test_section_4,qwen3.5_4b,100,100,0,1.0,20.9463,15.111,29.069,38.4436,18889258685.0,806.0,667.03,79.9874,5397.9991,65.1527,62.5311,0.296123,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
test_section_5,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,47,53,0.47,35.5877,29.701,43.001,49.5328,33529633674.47,1351.0,1212.2979,93.7485,5122.0,66.186,62.5624,0.535804,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 47}",json_parsed_without_cleanup,2,"{""json_parsed_without_cleanup"": 46, ""trimmed_trailing_text_after_json"": 1}"
test_section_5,deepseek-r1_8b,100,100,0,1.0,23.009,18.911,33.303,40.708,20952567277.0,714.0,739.82,91.6152,5234.0,63.2055,61.5129,0.327189,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,2,"{""json_parsed_without_cleanup"": 64, ""removed_markdown_code_fences"": 36}"
test_section_5,llama3.1_8b,100,39,61,0.39,24.2684,21.646,28.706,33.1505,22212160087.18,721.0,620.7436,57.786,5116.0,65.4892,60.6146,0.339252,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 39}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 39}"
test_section_5,ministral-3_3b,100,0,100,0.0,,,,,,,,,,,,,,,,,0,{},,0,{}
test_section_5,qwen3.5_4b,100,100,0,1.0,27.4591,23.6,32.646,38.4814,25403736230.0,781.0,908.88,80.6871,5398.0,66.3335,62.4365,0.401846,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
test_section_6,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,60,40,0.6,27.8737,20.832,33.062,49.3282,25817009186.67,1360.0,920.5667,93.2302,5122.0,66.4377,62.4631,0.41156,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 60}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 60}"
test_section_6,deepseek-r1_8b,100,99,1,0.99,18.4347,14.614,25.485,40.4331,16373979178.79,717.0,576.7576,90.9707,5234.0,62.257,61.5181,0.253925,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 99}",removed_markdown_code_fences,2,"{""removed_markdown_code_fences"": 91, ""json_parsed_without_cleanup"": 8}"
